mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__loss,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_split,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
69.5481267273426,2.5969841132068026,0.6661249995231628,0.031286619792721314,0.004057953321460083,exponential,17,log2,14,684,0.9863174229430806,"{'classifier__learning_rate': 0.004057953321460083, 'classifier__loss': 'exponential', 'classifier__max_depth': 17, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 14, 'classifier__n_estimators': 684, 'classifier__subsample': 0.9863174229430806}",0.6866884800709093,0.6463022508038585,0.6743830798389454,0.6723463239384824,0.7638409821689564,0.6059923998830752,0.6985774140114975,0.6959758355256748,0.680513345780175,0.04238967625347449,1,0.9998355131274835,0.9998660970990122,0.9995079117401476,0.9997123930369707,0.9999498503119623,0.999659489472273,0.9994998690644332,0.9996860278285888,0.999714643960109,0.00015231622968632708
15.985876142978668,0.7098512655449262,0.3161241412162781,0.027692182423392418,0.013658968045357323,exponential,8,log2,11,501,0.48449051909560814,"{'classifier__learning_rate': 0.013658968045357323, 'classifier__loss': 'exponential', 'classifier__max_depth': 8, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 11, 'classifier__n_estimators': 501, 'classifier__subsample': 0.48449051909560814}",0.6394470584907261,0.7101488906280939,0.6996633695108957,0.6562314358186156,0.7261619409529377,0.6262496346097632,0.6945337620578779,0.6772678554029036,0.6787129934339767,0.03303513234705401,2,0.9602120175010896,0.9613099036585291,0.9624842497447905,0.9607807617408631,0.9703687543637058,0.9646175413071467,0.9630260204680976,0.9635985464786139,0.9632997244078545,0.0030078132998434285
7.996375799179077,1.0853194364302308,0.18224966526031494,0.015416328420312788,0.08829314898639773,exponential,6,sqrt,6,101,0.4978086480926611,"{'classifier__learning_rate': 0.08829314898639773, 'classifier__loss': 'exponential', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 101, 'classifier__subsample': 0.4978086480926611}",0.660785848318262,0.7485737993984026,0.6957124402410161,0.6320543889260828,0.7122381369969794,0.642336548767417,0.64787099288707,0.6670271850336159,0.6758249175711057,0.03730978682607195,3,0.9329762066504063,0.927886916157375,0.9380084462734705,0.9381450938898518,0.934203609294513,0.9341269212501595,0.9321453256002644,0.9375659800127151,0.9343823123910944,0.0032922576977322685
17.99125012755394,0.8410727619828446,0.326251357793808,0.013319257493059115,0.006027085857483682,exponential,6,log2,11,830,0.5679128151909741,"{'classifier__learning_rate': 0.006027085857483682, 'classifier__loss': 'exponential', 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 11, 'classifier__n_estimators': 830, 'classifier__subsample': 0.5679128151909741}",0.6286597957586444,0.7190219799907591,0.696683671063922,0.6276885649357384,0.7507064211244276,0.6354672123160869,0.6727077852479783,0.6507161648640749,0.672706449412704,0.0427800802573791,4,0.8794873891110475,0.8786012381411141,0.8891676082020723,0.8913445596113954,0.8876890906671235,0.8865327208176623,0.8848803178670654,0.8964426504168669,0.8867681968542934,0.005528022703694197
57.843794882297516,2.446109700375174,0.6436254680156708,0.022511259795761514,0.013250788006729741,exponential,19,sqrt,11,714,0.5972992226882988,"{'classifier__learning_rate': 0.013250788006729741, 'classifier__loss': 'exponential', 'classifier__max_depth': 19, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 11, 'classifier__n_estimators': 714, 'classifier__subsample': 0.5972992226882988}",0.6543172624491991,0.6601163591102395,0.6795975521211493,0.6269624991749253,0.7623209587839814,0.5938322128032739,0.7076001169248758,0.6962778914547404,0.6726281066027981,0.048298170453311376,5,0.9998362973318817,0.9998566866462342,0.9998002239295659,0.9997594453008609,0.9997402753510576,0.9997607645232132,0.9995617268508454,0.999780082885531,0.9997619378523988,8.430823705038536e-05
35.359546184539795,1.2445588275891557,0.43800070881843567,0.023125207962957008,0.010810002623877324,deviance,13,sqrt,11,453,0.8499231946271113,"{'classifier__learning_rate': 0.010810002623877324, 'classifier__loss': 'deviance', 'classifier__max_depth': 13, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 11, 'classifier__n_estimators': 453, 'classifier__subsample': 0.8499231946271113}",0.6690460250256951,0.6810213953663803,0.6816248785961471,0.638985016642936,0.7326512715580239,0.6127448114586378,0.6882880249439736,0.6609081165351262,0.670658692515865,0.03323482709538023,6,0.9997945384476792,0.9998768799094871,0.9995206550616179,0.9997984594696699,0.9998042796221719,0.9996922721477218,0.9994944052851916,0.9996042662749398,0.99969821952731,0.0001343622091907326
18.166125923395157,1.0116030058305323,0.2562488615512848,0.022752027773450315,0.0075999603427427944,exponential,19,log2,6,133,0.4191095724437436,"{'classifier__learning_rate': 0.0075999603427427944, 'classifier__loss': 'exponential', 'classifier__max_depth': 19, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 133, 'classifier__subsample': 0.4191095724437436}",0.6462551036765329,0.6807573714533574,0.6547698748715242,0.6646330539080254,0.7512715580239695,0.5824125499366657,0.7079021728539413,0.6624378836597486,0.6688049460479706,0.04568816120592521,7,0.9927717920109569,0.9926198524088112,0.9925865237218892,0.9926694533369955,0.9946823768532457,0.9908887578449137,0.9937892440822393,0.9941882951018389,0.9930245369201114,0.0011064970123603804
14.710841327905655,1.2704907347744845,0.33075132966041565,0.03966426122846901,0.008706145552616562,exponential,8,sqrt,12,497,0.33071066819990236,"{'classifier__learning_rate': 0.008706145552616562, 'classifier__loss': 'exponential', 'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 12, 'classifier__n_estimators': 497, 'classifier__subsample': 0.33071066819990236}",0.6215594383834193,0.724943659182846,0.6639352764236075,0.6303853806187589,0.7392477832992304,0.6194387605963169,0.6811750950014616,0.6644450940270875,0.668141310941591,0.04250174847188004,8,0.9117450488765194,0.908363755562705,0.9201766185145561,0.9205473511437915,0.9269853715116209,0.924973139670979,0.9184376791582969,0.9297697524400652,0.9201248396098167,0.006848074118861838
36.10312670469284,1.5895672959658411,0.5857516229152679,0.02897343281205272,0.01394105318292116,exponential,17,sqrt,12,707,0.3500977055771204,"{'classifier__learning_rate': 0.01394105318292116, 'classifier__loss': 'exponential', 'classifier__max_depth': 17, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 12, 'classifier__n_estimators': 707, 'classifier__subsample': 0.3500977055771204}",0.6604558184269833,0.6703944328672053,0.6677164760351151,0.625783820991787,0.7621650589496248,0.5969794407093443,0.7051154633148202,0.6513007892429115,0.6674889125672239,0.046650621490059094,9,0.9933407323018301,0.9935011021012561,0.9927806143104363,0.991982294233098,0.9918507732613572,0.9914507465668929,0.9901790519484422,0.9910764776888525,0.9920202240515208,0.0010694603744582606
16.60295882821083,1.2876422242569834,0.25850093364715576,0.023351367371186975,0.046441838761346776,exponential,13,sqrt,8,172,0.6712903827532019,"{'classifier__learning_rate': 0.046441838761346776, 'classifier__loss': 'exponential', 'classifier__max_depth': 13, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__n_estimators': 172, 'classifier__subsample': 0.6712903827532019}",0.6683199592648819,0.6903282383004403,0.6803047590310323,0.6262741511159725,0.7255285978758648,0.5824222936763129,0.7061775309363734,0.6514566890772678,0.6663515274097682,0.042915112230805505,10,0.9993579326489974,0.9995496706243503,0.9994210611030502,0.9996584789845965,0.9996936380925323,0.999608168974398,0.9995063085185392,0.9995324566049091,0.9995409644439216,0.00010657275820912974
