mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__fit_intercept,param_classifier__max_iter,param_classifier__penalty,param_classifier__solver,param_classifier__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
8.656275242567062,0.9418868389947607,0.15087684988975525,0.02058269738747277,1000,False,172,l2,saga,,"{'classifier__C': 1000, 'classifier__fit_intercept': False, 'classifier__max_iter': 172, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.6213802792995822,0.6702058443579033,0.6698663850411595,0.6470188871392066,0.7700380005846243,0.5915034590275747,0.731277404267758,0.67470525187567,0.6719994389491848,0.053392947965865085,1,0.7267386840775726,0.720485830308755,0.7206693341379271,0.7319797181216502,0.6927482770557567,0.7248776406152372,0.7031835100020333,0.7356598235433467,0.7195428522327849,0.013612530379496605
10.304432839155197,0.9866667287075613,0.15062615275382996,0.014704741787069743,1000,False,322,l2,saga,,"{'classifier__C': 1000, 'classifier__fit_intercept': False, 'classifier__max_iter': 322, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.6162789601229597,0.6647273481626765,0.6828035567792854,0.6534874730082696,0.7639968820033128,0.5882100750267952,0.7230147130468674,0.6781447919711586,0.6713329750151656,0.05212728904656738,2,0.7230384156248021,0.7153206680402007,0.7186337355713741,0.735445313408268,0.6936903887049634,0.7273509763968639,0.6987342374847259,0.7381247685211384,0.7187923129690421,0.01494513644941766
14.795911639928818,1.0447984744865302,0.1387495994567871,0.021221160401497918,100,False,467,elasticnet,saga,0.8391971359171131,"{'classifier__C': 100, 'classifier__fit_intercept': False, 'classifier__l1_ratio': 0.8391971359171131, 'classifier__max_iter': 467, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.6220969156349303,0.6742793561588292,0.6758257819351067,0.652007053210248,0.7564552275163208,0.5914449965896911,0.7275065770242619,0.6710026308097049,0.6713273173598866,0.049510121028993756,3,0.7268608239125879,0.7211175069514819,0.7226176899651833,0.7316119262589078,0.6948711504260381,0.7250216502252442,0.6975932832981245,0.7399721113096718,0.7199582677934049,0.014780126697466388
13.320028513669968,2.6461131170556165,0.1707858443260193,0.06521819876862098,10,True,491,elasticnet,saga,0.2880413719275924,"{'classifier__C': 10, 'classifier__fit_intercept': True, 'classifier__l1_ratio': 0.2880413719275924, 'classifier__max_iter': 491, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.6151662879180771,0.6714410990938322,0.6746376743265032,0.6452272963008363,0.7672318035662087,0.5891454740329338,0.7249634609763227,0.676118094124525,0.6704913987924048,0.053258763303716476,4,0.7221065847486752,0.7178871729843155,0.7213106172845315,0.7303877831933625,0.692846625082103,0.7226835429798437,0.6972545289851537,0.7362702057386074,0.7175933826245741,0.014136717511179559
14.69823706150055,0.9815909852321031,0.16437721252441406,0.04427309521993994,1000,False,406,elasticnet,saga,0.611941568540383,"{'classifier__C': 1000, 'classifier__fit_intercept': False, 'classifier__l1_ratio': 0.611941568540383, 'classifier__max_iter': 406, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.6285655015039934,0.666283203364419,0.6777210964535931,0.6402768479316555,0.7640358569619019,0.5829387118776186,0.7267855402903635,0.6771899054857254,0.6704745829836589,0.05288030602354739,5,0.7283129744069013,0.7218044700042798,0.7191207265026386,0.7313080470546165,0.6918609983339375,0.7229817092184494,0.6998759722112189,0.7370368910471685,0.7190377235974014,0.014532399381130753
10.066238433122635,0.9231602742650231,0.1543750762939453,0.016851379181315268,1000,True,282,l2,sag,,"{'classifier__C': 1000, 'classifier__fit_intercept': True, 'classifier__max_iter': 282, 'classifier__penalty': 'l2', 'classifier__solver': 'sag'}",0.6215877266598145,0.6638598410198867,0.6789469217640569,0.6446143836456044,0.7611322225470136,0.5982948455617266,0.7206469843125792,0.6738088278281203,0.6703614691673503,0.04890196411967649,6,0.7247277879495624,0.7163524849770943,0.721865245845138,0.7331011304110349,0.6978783754935451,0.7253886991092868,0.6997304015214283,0.7359659903158416,0.7193762644528664,0.013190131513413313
13.019902914762497,0.8755547372982782,0.15487581491470337,0.029193563774707637,100,False,359,elasticnet,saga,0.7505967542927345,"{'classifier__C': 100, 'classifier__fit_intercept': False, 'classifier__l1_ratio': 0.7505967542927345, 'classifier__max_iter': 359, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.6288766725443419,0.6659343146222101,0.67302524257197,0.6509886752600165,0.76379226347072,0.5719477735554906,0.728705057000877,0.6789924973204716,0.6702828120432622,0.05479048398400438,7,0.7255959022183378,0.7178973676414915,0.7196034043097129,0.7330527057894478,0.6946756251831829,0.7255676378794448,0.7010703933803973,0.7390660996304533,0.7195661420040586,0.014137399213898439
6.8866128623485565,1.0464678270571843,0.15685683488845825,0.01253228635931572,1,True,382,l2,lbfgs,,"{'classifier__C': 1, 'classifier__fit_intercept': True, 'classifier__max_iter': 382, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.6153737352783094,0.6714316696683671,0.6647556364390719,0.6313000348888742,0.7742960148104843,0.6131832797427653,0.7237357497807658,0.6669979538146742,0.670134259302914,0.05185733604286289,8,0.7211982800044936,0.7127374987526249,0.7172202071436707,0.7231787882120748,0.6849838564836912,0.720752877557878,0.6873096702257986,0.729298228291527,0.7120849258339699,0.015623045442581933
10.920484393835068,0.9994153611254024,0.15119823813438416,0.018060909531393166,10,True,436,l2,saga,,"{'classifier__C': 10, 'classifier__fit_intercept': True, 'classifier__max_iter': 436, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.6172219026694703,0.6764386945903386,0.6723746122148777,0.6392301817050287,0.7658189613173536,0.5890382928968138,0.7250901295917374,0.6752509012959175,0.6700579595351921,0.053124786682308044,9,0.724522522448341,0.7210059538758421,0.7194740105840147,0.734013160126108,0.692146675934277,0.72332514677077,0.6948984693222455,0.7361086339810383,0.7181868216303295,0.015281724139222932
8.51323065161705,1.7433368140955077,0.15412470698356628,0.024095264031968863,1,True,422,elasticnet,saga,0.11298421280938475,"{'classifier__C': 1, 'classifier__fit_intercept': True, 'classifier__l1_ratio': 0.11298421280938475, 'classifier__max_iter': 422, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.6188909109767942,0.670177556081508,0.6679333528208127,0.6328558900906168,0.7744421709051934,0.6007112929942512,0.730926629640456,0.6640066257429601,0.6699930536565741,0.05414470515283848,10,0.7259203667880811,0.7153769347057695,0.7211471106675128,0.7280504619846134,0.686981258066392,0.7201826931670368,0.6937731259334768,0.7301441383990893,0.7151970112139965,0.015079053473586235
