mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_split,param_classifier__n_estimators,param_classifier__oob_score,param_classifier__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
16.00711777806282,0.6727753680265514,0.6190250217914581,0.055709216745391525,entropy,12,log2,13,478,False,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 12, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 13, 'classifier__n_estimators': 478, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.15}",0.7270747093379601,0.7151559155500655,0.6767781539070825,0.6729875248701097,0.769989281886388,0.6484458735262594,0.7218064893306051,0.7263957907044725,0.7073292173891179,0.03628105302614763,11,0.917601291270962,0.9252684576718815,0.9180565219241004,0.9185005776645648,0.9210099483711889,0.9189292241550558,0.9165333569576741,0.9179652573888833,0.9192330794255389,0.0025776645179649295
15.203280478715897,0.6356347751598173,0.5672768354415894,0.08766894871931956,entropy,7,15,9,437,True,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 7, 'classifier__max_features': 15, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 437, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.25}",0.729375489151446,0.7154105100376233,0.6738927497147599,0.6814174312359148,0.7577803761083505,0.6474909870408262,0.7197213290460879,0.7333820520315697,0.7073088655458223,0.03409363569577702,12,0.8819097964969982,0.8922924666776847,0.8838775613831091,0.8886941447966764,0.8868219108475143,0.8924632629143252,0.8851017960613177,0.8911080505274694,0.8877836237131369,0.0037414203603169504
15.099372774362564,0.6884674511015684,0.4391258656978607,0.019952897527947155,gini,8,,13,370,False,0.3,"{'classifier__criterion': 'gini', 'classifier__max_depth': 8, 'classifier__max_features': None, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 370, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.3}",0.7372867771166702,0.6957784462192719,0.6627754570913994,0.6890741247135812,0.7662671733411283,0.6425898859982462,0.741673974471402,0.7229465068693365,0.7072990432276295,0.03942949424503677,13,0.8821217277356039,0.8885494590852138,0.881770992318522,0.8853075581031742,0.8858433089583735,0.889753813815478,0.8877954392273593,0.8903965884162417,0.8864423609574958,0.0030620359927154847
11.764874339103699,0.8033442205314268,0.41537556052207947,0.03715769388260608,gini,7,log2,12,306,True,0.25,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 12, 'classifier__n_estimators': 306, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.25}",0.7236518278941264,0.7204646820869204,0.6825301034407973,0.6866696212199791,0.7690733703595439,0.6365682548962291,0.7150248465361005,0.7230147130468674,0.7071246774350706,0.03640940819559768,14,0.8520020052106462,0.8668142539344026,0.8594911572131808,0.8659461396656271,0.8612978661210172,0.8692289319599474,0.8634408383935084,0.8612438137335214,0.8624331257789815,0.0049862404403330845
7.925999462604523,1.0067517788665816,0.22550195455551147,0.020779890341008637,entropy,7,,17,74,False,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 7, 'classifier__max_features': None, 'classifier__min_samples_split': 17, 'classifier__n_estimators': 74, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.15}",0.7486680936530538,0.7069711742463531,0.6616533554610518,0.6910448746357885,0.7594757868069765,0.6501023092662964,0.7335769268245151,0.7051349507941147,0.7070784339610187,0.03665367086094288,15,0.8813488943012062,0.8885469104209197,0.8808264181209248,0.8873776616632467,0.8879501812608763,0.8880050141882639,0.885167556547188,0.8937735942574119,0.8866245288450048,0.003914846204384706
14.13449877500534,0.9764551577268684,0.3271240293979645,0.02168777819341898,entropy,11,,9,209,False,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 11, 'classifier__max_features': None, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 209, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.15}",0.761265806074436,0.6979755023526417,0.6726952126806913,0.68676391547463,0.7547500730780473,0.6386826463996882,0.7301081555100848,0.7136607229854819,0.7069877543194627,0.03895224316496313,16,0.9552460431496708,0.9577982363635187,0.9530553681633797,0.9548988366523804,0.9611480414888174,0.9597883409975846,0.9585619176928489,0.958406785389386,0.9573629462371983,0.0025503538876676906
12.770736008882523,0.7695366857608184,0.3045596182346344,0.01845825683262699,entropy,13,,15,170,False,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 13, 'classifier__max_features': None, 'classifier__min_samples_split': 15, 'classifier__n_estimators': 170, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.15}",0.7679041216018708,0.6985695561569434,0.6701304089541825,0.6890646952881161,0.7569813894572738,0.6312481730488162,0.7337523141381662,0.7079216603332359,0.7069465398723256,0.04244764097484851,17,0.9556205007497975,0.9575074925828968,0.9534941305241563,0.9547280761446787,0.9609716394733072,0.9583425859832989,0.9587139278367454,0.9584382021200244,0.9572270694268632,0.002285368479266614
10.205051273107529,0.6676870745791151,0.4002520442008972,0.029347578799808652,entropy,11,log2,13,242,False,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 11, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 13, 'classifier__n_estimators': 242, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7188805386087826,0.7167306296027383,0.6860849968411424,0.6770421778201055,0.769463119945435,0.6497028159407581,0.7077560167592323,0.7286953132612297,0.706794451097428,0.033960031006071055,18,0.8919701586700365,0.9002435150707421,0.8937501066027854,0.8966722482414705,0.8962239041122352,0.8978181568409053,0.8957622147663317,0.8956956737405695,0.8960169972556346,0.0023255013352724203
7.221371293067932,0.9326989741622257,0.25675126910209656,0.02035254806066572,entropy,8,log2,14,92,True,0.2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 8, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 14, 'classifier__n_estimators': 92, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.2}",0.7140715316215782,0.72308606236622,0.6889986893098603,0.666368068193605,0.7646886875182695,0.6564747149956153,0.7081360226054759,0.7305855987528014,0.7065511719204283,0.03301612781257521,19,0.8653119143586061,0.8820268390034252,0.8717298431532388,0.8802682606405264,0.8809871800225497,0.8817573777606234,0.874244486168638,0.8776177844453229,0.8767429606941164,0.005548792045096878
12.363435178995132,0.6613711252541461,0.4808768928050995,0.024075187709128146,entropy,11,log2,11,345,False,0.3,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 11, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 11, 'classifier__n_estimators': 345, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.3}",0.7192954333292472,0.7143355555346012,0.6836710639220752,0.6712619400099953,0.7654876741693462,0.6386534151807464,0.7239013933547697,0.7344246321738284,0.7063788884593262,0.037338286722816534,20,0.8918962474055088,0.9012278876415466,0.8919836861959047,0.8942474882423254,0.8948542517373842,0.8966409075493427,0.8911416137428098,0.8931040861653596,0.8943870210850227,0.0030877539626664894
